latitude,longitude,recap,species,length,width,tail,tail_notes,mass,mass_notes,left_tag,right_tag,notes,chel,burr,algae,mud,sea_squirts,fibropapilloma,damage,damage_notes,shark_damage,substrate,depth,condition
-25.72604,113.63374,nest,loggerhead,102,89,0,,105,,NA,40405,NA,yes,no,thick,yes,no,no,car lff rff rhf,shark bite radius 27.5cm on lff gash on neck shoulder damage,1,seagrass,10,flat
-25.7335,113.64487,yes,loggerhead,74,68.5,0,,53,,54958,54959,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,4,flat
-25.72673,113.62339,yes,loggerhead,80,73,-3,,66,,54412,54411,NA,yes,no,thin,no,no,no,none,knicks on left side of shell and near back right flipper,0,sand,7,flat
-25.73761,113.65614,no,loggerhead,80,77,-3,,67,,10736,NA,10736 in rear flipper,yes,yes,thin,no,no,no,none,NA,0,sand,3.5,slightconcave
-25.7298,113.6287,no,loggerhead,86,77,3,,86,,NA,10733,10733 in rear flipper,yes,yes,thin,no,no,no,none,NA,0,sand,5,convex
-25.77068,113.71508,yes,green,83,74,3,,73,,61396,61335,NA,no,no,thin,no,no,no,none,NA,0,seagrass,9,convex
-25.83782,113.73252,no,green,84,73,1.5,,65,,54934,NA,NA,yes,no,none,yes,no,no,none,NA,0,seagrass,8,flat
-25.72694,113.62409,no,loggerhead,67,67,-3,,38,,NA,61359,NA,yes,no,thick,no,no,no,none,NA,0,sand,5,concave
-25.75782,113.74178,no,loggerhead,86.5,83,-5,,77,,NA,61358,NA,yes,no,none,yes,no,no,lff,NA,0,seagrass,6,flat
-25.72058,113.61692,no,loggerhead,104.5,89.5,20,,140,,NA,61340,NA,yes,yes,thin,no,no,no,lff,1 quarter of lff missing red bleeding mark on right eye,1,sand,5,flat
-25.7179,113.61606,yes,loggerhead,105,97,-6,,148,,NA,61337,NA,yes,yes,thin,yes,no,no,rff,old injury on rff fully healed,1,sand,5,convex
-25.76115,113.74345,no,loggerhead,85.5,81,-5,,69,,NA,61360,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,slightconcave
-25.68348,113.67185,no,green,102,95,13,,141,,54945,NA,NA,no,no,thin,no,no,no,none,NA,0,sand,7,flat
-25.74483,113.67306,no,loggerhead,71,68,-7.5,,40,,NA,61339,NA,yes,no,thick,no,no,no,none,NA,0,sand,6.5,concave
-25.73368,113.63682,no,loggerhead,92,85,24,,99,,NA,61338,NA,yes,no,thin,no,no,no,yes,tumour left eye not fp.  divots in lhf and rhf,0,sand,8,flat
-25.7311,113.66623,yes,green,104,93.5,40,,142,,54937,47494,NA,no,no,thin,no,no,no,none,NA,0,sand,8,flat
-25.7333,113.63357,yes,loggerhead,93,82,0,,NA,,NA,51682,NA,yes,no,thin,no,no,no,lff lhf,lff entirely missing.  lhf one third missing.  some old wounds healed over.,1,sand,7,slightconcave
-25.72646,113.62405,yes,loggerhead,104,92,22,,NA,,54678,54677,NA,yes,no,thick,no,no,no,none,fl shoulder healed puncture,0,sand,10,flat
-25.7118,113.61377,yes,loggerhead,97.5,84,20,,NA,,54586,54587,NA,yes,yes,thick,no,no,no,none,NA,0,sand,8,flat
-25.80307,113.72905,yes,green,118,113.5,15,,NA,,54637,54650,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.7285,113.62213,yes,loggerhead,101,88,29,,NA,,37877,54899,NA,yes,yes,thin,no,no,no,none,NA,0,sand,4,flat
-25.71427,113.61151,yes,loggerhead,102,99,18,,135,,NA,61376,NA,yes,no,thin,no,no,no,none,NA,0,sand,5,flat
-25.73052,113.63218,yes,loggerhead,91,84,2,,110,,54608,54609,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.8,convex
-25.72757,113.63062,yes,loggerhead,103,95,15,,NA,,NA,61376,NA,yes,yes,thin,no,no,no,none,NA,0,sand,4.3,flat
-25.49064,113.43958,yes,green,100,92,11,,130,,51789,18551,NA,yes,no,none,no,no,no,none,NA,0,seagrass,7.2,flat
-25.805,113.72797,no,loggerhead,90,79,7.5,,84,,NA,61400,NA,yes,yes,thin,no,no,no,none,NA,0,sand,3.8,flat
-25.61193,113.66513,no,green,102,95,10,,124,,61398,NA,NA,yes,yes,thick,yes,no,no,none,NA,0,seagrass,4.1,concave
-25.60592,113.59395,yes,green,84,82,0.5,,73,,54524,54588,NA,no,no,none,no,no,no,none,NA,0,sand,6,flat
-25.80287,113.72962,yes,loggerhead,94,84,25.5,,93,,54858,54730,NA,yes,yes,thin,no,no,no,none,NA,0,sand,3.1,slightconcave
-25.73005,113.64862,yes,loggerhead,103,84.5,0,,124,,30156,30155,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,12,flat
-25.80657,113.73005,no,loggerhead,76,72,-3,,58,,NA,61377,NA,no,no,thick,no,no,no,none,NA,0,sand,5,concave
-25.7474,113.74653,nest,loggerhead,94,84,-4,,94,,61361,51719,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,8.6,slightconcave
-25.73297,113.6339,yes,loggerhead,79,75,-6,,58,,54584,54499,lefttag either 54584 or 54854,yes,no,thin,no,no,no,none,NA,0,sand,4.3,slightconcave
-25.73998,113.65382,yes,loggerhead,96.5,85,-2,,118,,33447,47372,NA,yes,no,thin,no,no,no,none,NA,0,sand,5.5,flat
-25.7265,113.62445,yes,loggerhead,102,91,20,,118,,54696/37893,47385,righttag either 47385 or 47375,yes,yes,thick,no,no,no,none,NA,0,sand,4.5,flat
-25.86898,113.72231,no,green,45,45,-1,,NA,,NA,NA,NA,no,yes,none,no,no,no,none,NA,0,sand,2.2,slightconcave
-25.86911,113.7235,no,green,43,43,NA,,NA,,NA,NA,NA,no,no,none,no,no,no,car,bullet wound,0,sand,1.8,NA
-25.72743,113.65791,no,green,99,95,30,,NA,,54977,61368,NA,yes,yes,thin,no,no,no,none,NA,0,seagrass,10.4,NA
-25.86541,113.72198,no,green,43,43,-1,,NA,,NA,NA,NA,no,yes,thin,no,no,no,none,NA,0,sand,3.1,slightconcave
-25.78559,113.77834,no,loggerhead,80,78,-5,,NA,,NA,61362,NA,yes,yes,thick,yes,yes,no,lff rrf,lff and rrf entirely missing,1,NA,31.3,concave
-25.7677,113.78755,no,green,41.5,42,-2.5,,NA,,NA,NA,NA,yes,yes,thin,no,no,no,car,teeth rakes on lower carapace,1,seagrass,7.2,slightconcave
NA,NA,yes,green,64,59.5,1,,NA,,NA,61367,tag 1068 removed replaced with 61367,yes,no,thin,no,no,no,car,teeth marks on carapace and bottom of left rear flipper,1,sand,6.1,slightconcave
-25.73429,113.64835,no,green,52,49,0,,NA,,61363,NA,NA,no,no,thick,no,no,no,none,NA,0,sand,4.6,flat
-25.73625,113.64835,yes,loggerhead,68,67,0,,NA,,NA,61359,NA,yes,no,thick,no,no,no,none,NA,0,sand,3.4,slightconcave
-25.73249,113.6354,yes,loggerhead,97,85,0,,NA,,54961,54987,NA,yes,yes,thick,no,no,no,none,NA,0,sand,3.6,slightconcave
-25.74065,113.65218,no,green,45,41,0,,NA,,NA,NA,NA,no,no,thin,no,no,no,car,left eye damaged mark on carapace,1,sand,4,slightconcave
-25.76086,113.74496,no,green,42,40,-3,,NA,,NA,NA,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,3.5,slightconcave
-25.76683,113.79009,no,green,46,47,-2,,NA,,NA,NA,NA,no,yes,thin,no,no,no,none,NA,0,seagrass,4.8,slightconcave
-25.76566,113.78699,no,green,102,101,0,,NA,,NA,61364,NA,yes,yes,thin,no,no,no,car,tooth marks on carapace,1,seagrass,10.8,flat
-25.7873,113.7214,no,green,45,42,-1,,NA,,NA,NA,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,2.1,slightconcave
-25.78406,113.72427,no,green,98,87,8,,NA,,61366,61365,NA,no,no,thin,no,no,no,rff,tooth marks on rff,1,seagrass,9,slightconcave
-25.77655,113.72645,yes,green,84,78,4,,NA,,61396,61335,NA,yes,yes,thin,no,no,no,none,NA,0,seagrass,6.5,flat
-25.7312,113.73983,no,loggerhead,95,83,24,,NA,,61380,61379,NA,no,yes,thick,no,no,no,none,NA,0,sand,20.4,flat
-25.73373,113.64428,NA,green,88,80,5,,NA,,NA,61381,NA,no,yes,none,no,no,no,none,NA,0,seagrass,5.5,slightconcave
-25.73393,113.64407,yes,loggerhead,83,75,-5,,NA,,54412,54411,NA,yes,yes,thin,no,no,no,car,left carapace at mid- 10cm.  right carapace at hind corner 12cm.,NA,sand,6,flat
-25.77958,113.72499,no,green,77,71,5,,NA,,61383,61382,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,3.2,flat
-25.86154,113.75571,yes,loggerhead,82,76,-2.7,,NA,,54887,61384,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.6,slightconcave
-25.84962,113.75608,no,loggerhead,76,76,4.9,,NA,,61394,61385,NA,yes,yes,thin,no,no,no,car,left carapace near lff.,NA,seagrass,4.6,slightconcave
-25.77879,113.79392,no,green,103,93,5,,NA,,61390,61391,NA,no,no,thin,no,no,no,none,NA,0,seagrass,15,convex
-25.76413,113.79242,no,green,109,100,9,,NA,,61388,61389,NA,no,no,thin,no,no,no,car,teeth marks on carapace down center,NA,sand,6,convex
-25.75433,113.66997,no,loggerhead,63,65,-3,,NA,,76977,NA,NA,yes,no,thick,no,no,no,none,NA,0,sand,3,concave
-25.7359,113.6605,yes,loggerhead,87.5,81,0,,NA,,76989,76976,NA,yes,no,thick,no,no,no,rff,rff half off small non shark (prob turtl) on rrf rrr,1,sand,4,convex
-25.76777,113.79223,no,loggerhead,100,89,17,,108,,NA,76998,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,4.3,flat
-25.73373,113.73811,no,loggerhead,98,90,27,,120,,76999,NA,NA,yes,yes,thick,no,no,no,rff,missing right front flipper,NA,sand,11.5,convex
-25.73827,113.65908,NA,loggerhead,96,85,31,,106,,47369,54871,NA,yes,no,thick,no,no,no,none,NA,0,sand,3.1,slightconcave
-25.73302,113.65065,yes,loggerhead,98,86,31,,115,,77000/54405,NA,righttag 54404 was removed and not replaced,yes,yes,thin,no,no,no,lff,pinch marks on left front flipper from another loggerhead turtle,NA,sand,4.8,flat
-25.72752,113.62747,yes,loggerhead,102,92,24,,120,,54678,54677,NA,yes,yes,thick,no,no,yes,none,NA,0,sand,4.8,flat
-25.72133,113.62195,yes,loggerhead,101,93,30,,NA,,NA,54594,NA,yes,yes,thick,no,no,no,rff,missing right front flipper,NA,sand,5.5,convex
-25.72167,113.62317,yes,loggerhead,99,93,30,,120,,57880,54575,NA,yes,no,thin,no,no,no,rff,rff amp from claw out,1,sand,5,flat
-25.72107,113.62435,yes,loggerhead,103,96,28,,135,,NA,61376,NA,yes,no,thick,no,no,no,none,NA,0,sand,6.2,flat
-25.7163,113.61633,yes,loggerhead,98,87,0,,NA,,41804,54692,NA,yes,no,thick,no,no,no,none,NA,0,sand,6,NA
25.74983,113.77025,NA,green,86.5,80,6,,82,,76996,76997,NA,no,no,none,no,no,no,none,n/a,0,seagrass,6.7,convex
-25.7353,113.65583,yes,loggerhead,NA,NA,NA,,NA,,54678,54677,NA,yes,no,none,no,no,no,none,NA,0,sand,5.2,NA
25.79817,113.84309,NA,green,52,50,-2,,NA,,NA,76991,NA,yes,yes,thin,yes,no,no,none,NA,NA,seagrass,3,concave
25.79719,113.84309,NA,green,77,69,4,,NA,,NA,76980,NA,no,yes,thin,no,no,no,none,NA,NA,seagrass,3,flat
-25.79554,113.8431,NA,loggerhead,82,75,-8,,NA,,NA,76992,NA,yes,yes,thin,no,no,no,none,NA,NA,seagrass,3.8,slightconcave
25.79373,113.85174,NA,green,98,91,8,,NA,,NA,76982,NA,no,yes,thin,yes,no,no,none,NA,NA,sand,7,flat
25.79182,113.85907,NA,green,100,95,8,,NA,,NA,76984,NA,no,yes,thin,no,no,no,none,NA,NA,seagrass,2.7,slightconcave
25.79815,113.8431,NA,green,95,89,13,,NA,,NA,76981,NA,yes,yes,thin,yes,no,no,none,NA,NA,seagrass,4,slightconcave
-25.72605,113.66012,yes,loggerhead,88,79,0,,NA,,76989,76976,NA,yes,yes,thin,yes,no,no,lrr rrf,lff missing distal to joint/rrf missing chunk/skin infection at neck,NA,seagrass,7.5,slightconcave
-25.79106,113.85516,NA,green,89,80,5,,NA,,NA,76990,NA,no,yes,thin,no,no,no,none,NA,NA,seagrass,4.1,convex
-25.79474,113.85757,NA,green,93,90,8,,NA,,NA,76995,NA,no,no,none,no,no,no,none,NA,NA,sand,4,slightconvex
-25.73305,113.65105,no,loggerhead,72,67,-14,,NA,,NA,76986,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.3,flat
-25.725,113.63,yes,loggerhead,105,98,-13,,NA,,NA,61337,NA,yes,no,thin,no,no,no,rff,NA,1,sand,5.5,flat
-25.74338,113.6723,no,loggerhead,66,66,5,,NA,,76988,76994,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.5,slightconcave
-25.73695,113.66845,no,loggerhead,85,75.5,31,,NA,,83973,76985,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.3,flat
-25.44973,113.39871,no,loggerhead,99,89,3,,NA,,83961,83962,NA,yes,no,thin,no,no,no,none,NA,0,sand,8,convex
-25.61791,113.58784,no,loggerhead,86,81,-5,,NA,,83957,83958,NA,yes,yes,thick,no,no,no,car lff,carapace and lff,1,seagrass,4.3,flat
-25.61746,113.58562,no,loggerhead,71,70,-4,,NA,,83951,83952,NA,yes,yes,thick,no,no,no,car rff,carapace peeling rff tip gone,NA,seagrass,4.1,slightconcave
-25.61428,113.57803,no,loggerhead,89,87,0,,NA,,83949,83950,NA,yes,yes,thick,no,no,no,none,NA,0,sand,4.3,flat
-25.85913,113.59926,no,green,104,94,8,,NA,,83960,83956,NA,no,no,thin,no,no,no,none,NA,0,sand,4.5,convex
NA,NA,yes,loggerhead,99,92,23,,NA,,42571,47382,NA,yes,no,thick,no,no,no,rff,rff missing,1,sand,3.7,convex
-25.61209,113.58517,no,loggerhead,97,90,25,,NA,,83978,83959,NA,yes,no,thick,no,no,no,lff rff,lff rff missing,1,sand,3.8,flat
-25.75865,113.74236,no,loggerhead,74,72,0,,NA,,83941,83970,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,4.1,concave
-25.73611,113.66114,no,loggerhead,93,85,-6,,NA,,83929,83942,NA,yes,yes,thick,no,no,no,none,NA,0,sand,4.3,concave
-25.73474,113.65961,yes,loggerhead,100,89,-4,,NA,,83930,47496,NA,yes,no,thick,no,no,no,lff rff,lff rff,NA,seagrass,4.7,convex
-25.74626,113.67155,no,loggerhead,98,92,0,,NA,,83954,83976,NA,yes,no,thin,no,no,no,rhf,rhf bite,1,seagrass,4.2,flat
-25.74921,113.74593,no,green,68,67,0,,NA,,83943,83945,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,9,flat
-25.61206,113.57483,no,loggerhead,90,83,20,,NA,,83935,83934,NA,yes,no,thick,no,no,no,none,NA,0,sand,2.7,NA
-25.754,113.79177,no,green,95,92,9,,NA,,83933,83948,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5,flat
NA,NA,no,loggerhead,67,63.5,-1,,NA,,87449,87450,NA,yes,no,thick,yes,no,no,none,NA,0,sand,4,slightconcave
-25.7362,113.65155,no,green,86,84,15,,NA,,88989,83920,NA,no,no,none,no,no,no,none,NA,0,sand,3.5,flat
-25.72912,113.6526,yes,loggerhead,95,84,25,,NA,,51678,NA,NA,yes,no,thin,yes,no,no,none,NA,0,seagrass,9,flat
-25.75363,113.67145,no,loggerhead,71,70,-8,,40,,83925,61359,NA,yes,no,thick,no,no,no,car,carapace,0,sand,3,slightconcave
-25.73362,113.64333,no,green,75.5,74.5,1.5,,42,,83923,86443,NA,yes,no,none,no,no,no,none,NA,0,sand,2,flat
-25.7622,113.67512,no,green,76.5,70,0.5,,42,,88985,88987,NA,yes,no,thin,no,no,no,none,NA,0,sand,2,slightconcave
-25.74547,113.6745,no,loggerhead,97,87.5,-3,,130,,54675,42658,NA,yes,no,thin,no,no,no,car,carapace,NA,seagrass,8,flat
-25.79098,113.70857,no,green,115,109.5,8,,130,,87447,88980,NA,yes,no,thin,no,no,no,none,NA,0,sand,6,slightconcave
-25.7682,113.67817,no,green,88,82.5,3,,75,,88998,87444,NA,yes,no,thin,no,no,no,none,NA,0,sand,4,flat
-25.77948,113.69763,yes,loggerhead,77,71.5,-1,,50,,83918,54996,NA,yes,no,thin,no,no,no,car,carapace diameter 21cm,1,seagrass,6,flat
-25.74548,113.67042,no,green,86,82,1,,70,,88984,88978,NA,yes,no,none,no,no,no,rff,minor damage on rff,0,sand,5,flat
-25.80948,113.76133,no,green,87,81,3,,69,,88997,88993,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.81378,113.7307,no,green,96,89.5,24,,105,,88992,88994,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.75995,113.74273,yes,loggerhead,91.5,80.5,-2,,80,,61333,61334,NA,yes,no,thin,no,no,no,car,see capture sheet,NA,seagrass,2.5,flat
-25.75202,113.78813,no,green,108,104,11,,108,around 108,88995,88991,turtle partially in water when weighed so mass is minimum estimate,yes,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.77887,113.7905,yes,loggerhead,86,77.5,-5,,NA,,51774/88996,88986,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5.5,slightconcave
-25.75942,113.7704,no,green,91,84,5.5,,NA,,88982,83924,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.77027,113.78798,no,green,102,97,43,,NA,,88972,88951,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,3.5,slightconcave
-25.75567,113.67362,yes,loggerhead,71,69,-3,,39,,83925,61359,NA,yes,no,thick,no,no,no,car,see capture sheet,1,sand,2.5,slightconcave
-25.74555,113.67123,yes,loggerhead,98,84.5,-8,,115,,54961,54987,NA,yes,no,thick,no,no,no,none,NA,0,sand,4,flat
-25.74792,113.67235,yes,green,106,98,18,,147,,54945,88970,NA,no,no,none,no,no,no,none,NA,0,sand,4,convex
-25.75788,113.67398,yes,loggerhead,94,87,0,,NA,,54608,54609,NA,yes,no,thick,no,no,no,none,NA,0,sand,4,flat
-25.73317,113.6443,yes,green,107.5,101,12,,NA,,54493,88974,NA,no,no,none,no,no,no,rff,rff; missing 80%,1,sand,3.6,flat
-25.7623,113.67557,yes,loggerhead,93,84,40.5,,NA,,47358,47481,NA,yes,no,thick,no,no,no,rff,rff broken,1,sand,3.6,slightconcave
-25.73425,113.63945,no,green,97.5,90,4,,NA,,88966,88981,NA,yes,no,none,no,no,no,none,NA,0,sand,3.1,flat
-25.73625,113.63993,yes,loggerhead,104,94,28,,NA,,37881,47364,NA,yes,no,thick,no,no,no,lhf,small puncture in lhf,0,sand,3.1,slightconcave
-25.75537,113.7708,no,loggerhead,76,70,-3.5,,NA,,NA,88965,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,3,concave
-25.83805,113.72947,no,green,92.5,86,0,,NA,,88975,87445,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,convex
-25.82985,113.73223,no,green,100,91,16,,NA,,89000,88964,NA,no,no,none,no,no,no,none,NA,0,seagrass,6,convex
-25.84123,113.75208,no,green,82,76,3,,64,,88956,88961,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4,flat
-25.75112,113.72838,no,green,96.5,94,29,,101,,88959,88971,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,4.5,flat
-25.85478,113.73092,no,green,105,98,12,,119,,88990,88955,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4.5,slightconcave
-25.85953,113.75387,no,green,102,91.5,43,,129,,88962,88954,NA,no,no,none,no,no,no,none,NA,0,seagrass,4,flat
-25.82545,113.73465,no,green,103,94,5,,131,,88957,88963,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,convex
-25.806,113.73203,no,green,101,103,5,,146,,88973,88958,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.84123,113.75208,no,loggerhead,85,78,-5,,NA,,88952,88960,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,4,flat
-25.77362,113.7913,no,green,72.5,70.5,2,,44,,88944,88931,NA,no,no,thin,no,no,no,none,NA,0,seagrass,3.8,flat
-25.77113,113.79252,no,green,90,82,-3,,90,,88949,88945,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4,flat
-25.7763,113.79358,no,green,83,74,3,,59,,88946,88930,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7,flat
