Identificacion,Tratamiento,Grupo,Grupo_Tratamiento,Identicacion Unica,Consumo Bal (gr) dia1,Consumo Bal (gr) dia2,Consumo Bal (gr) dia3,Consumo Bal (gr) dia4,Consumo Bal (gr) dia5,Consumo Bal (gr) dia6,Consumo Bal (gr) dia7,Consumo Bal (gr) dia8,Consumo Bal (gr) dia9,Consumo Bal (gr) dia10,Consumo Bal (gr) dia11,Consumo Bal (gr) dia12,Consumo Bal (gr) dia13,Consumo Bal (gr) dia14,Consumo Bal (gr) dia15,Consumo Bal (gr) dia16,Consumo Bal (gr) dia17,Consumo Bal (gr) dia18,Consumo Bal (gr) dia19,Consumo Bal (gr) dia20,Consumo Bal (gr) dia21,Consumo Bal (gr) dia22,Consumo Bal (gr) dia23,Consumo Bal (gr) dia24,Consumo Bal (gr) dia25,Consumo Bal (gr) dia26,Consumo Bal (gr) dia27,Consumo Bal (gr) dia28,Consumo Bal (gr) dia29,Consumo Bal (gr) dia30,Consumo Bal (gr) dia31,Consumo Bal (gr) dia32,Consumo Bal (gr) dia33,Consumo Bal (gr) dia34,Consumo Bal (gr) dia35,Consumo Bal (gr) dia36,Consumo Bal (gr) dia37,Consumo Bal (gr) dia38,Consumo Bal (gr) dia39,Consumo Bal (gr) dia40,Consumo Bal (gr) dia41,Consumo Bal (gr) dia42,Consumo Bal (gr) dia43,Consumo Bal (gr) dia44,Consumo Bal (gr) dia45,Consumo Bal (gr) dia46,Consumo EP (gr) dia 1,Consumo EP (gr) dia 2,Consumo EP (gr) dia 3,Consumo EP (gr) dia 4,Consumo EP (gr) dia 5,Consumo EP (gr) dia 6,Consumo EP (gr) dia 7,Consumo EP (gr) dia 8,Consumo EP (gr) dia 9,Consumo EP (gr) dia 10,Consumo EP (gr) dia 11,Consumo EP (gr) dia 12,Consumo EP (gr) dia 13,Consumo EP (gr) dia 14,Consumo EP (gr) dia 15,Consumo EP (gr) dia 16,Consumo EP (gr) dia 17,Consumo EP (gr) dia 18,Consumo EP (gr) dia 19,Consumo EP (gr) dia 20,Consumo EP (gr) dia 21,Consumo EP (gr) dia 22,Consumo EP (gr) dia 23,Consumo EP (gr) dia 24,Consumo EP (gr) dia 25,Consumo EP (gr) dia 26,Consumo EP (gr) dia 27,Consumo EP (gr) dia 28,Consumo EP (gr) dia 29,Consumo EP (gr) dia 30,Consumo EP (gr) dia 31,Consumo EP (gr) dia 32,Consumo EP (gr) dia 33,Consumo EP (gr) dia 34,Consumo EP (gr) dia 35,Consumo EP (gr) dia 36,Consumo EP (gr) dia 37,Consumo EP (gr) dia 38,Consumo EP (gr) dia 39,Consumo EP (gr) dia 40,Consumo EP (gr) dia 41,Consumo EP (gr) dia 42,Consumo EP (gr) dia 43,Consumo EP (gr) dia 44,Consumo EP (gr) dia 45,Consumo EP (gr) dia 46,Consumo Total (gr) dia1,Consumo Total (gr) dia2,Consumo Total (gr) dia3,Consumo Total (gr) dia4,Consumo Total (gr) dia5,Consumo Total (gr) dia6,Consumo Total (gr) dia7,Consumo Total (gr) dia8,Consumo Total (gr) dia9,Consumo Total (gr) dia10,Consumo Total (gr) dia11,Consumo Total (gr) dia12,Consumo Total (gr) dia13,Consumo Total (gr) dia14,Consumo Total (gr) dia15,Consumo Total (gr) dia16,Consumo Total (gr) dia17,Consumo Total (gr) dia18,Consumo Total (gr) dia19,Consumo Total (gr) dia20,Consumo Total (gr) dia21,Consumo Total (gr) dia22,Consumo Total (gr) dia23,Consumo Total (gr) dia24,Consumo Total (gr) dia25,Consumo Total (gr) dia26,Consumo Total (gr) dia27,Consumo Total (gr) dia28,Consumo Total (gr) dia29,Consumo Total (gr) dia30,Consumo Total (gr) dia31,Consumo Total (gr) dia32,Consumo Total (gr) dia33,Consumo Total (gr) dia34,Consumo Total (gr) dia35,Consumo Total (gr) dia36,Consumo Total (gr) dia37,Consumo Total (gr) dia38,Consumo Total (gr) dia39,Consumo Total (gr) dia40,Consumo Total (gr) dia41,Consumo Total (gr) dia42,Consumo Total (gr) dia43,Consumo Total (gr) dia44,Consumo Total (gr) dia45,Consumo Total (gr) dia46,Peso dia 1,Peso dia 8,Peso dia 15,Peso dia 22,Peso dia 29,Peso dia 36,Peso dia 43,Peso dia 46,Ganancia de Peso dia1-8,Ganancia de Peso dia9-15,Ganancia de Peso dia16-22,Ganancia de Peso dia23-29,Ganancia de Peso dia30-36,Ganancia de Peso dia37-43,Ganancia de Peso dia44-46,CA dia1-8,CA dia9-15,CA dia16-22,CA dia23-29,CA dia30-36,CA dia37-43,CA dia44-46,Ganancia de Peso Diaria dia1-8,Ganancia de Peso Diaria dia9-15,Ganancia de Peso Diaria dia16-22,Ganancia de Peso Diaria dia23-29,Ganancia de Peso Diaria dia30-36,Ganancia de Peso Diaria dia37-43,Ganancia de Peso Diaria dia44-46
1,T1,1,T11,1T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,36,229,528,882,1640,2400,3000,3260,193,299,354,758,760,600,260,1.067033679,1.380016722,1.953919492,1.312582454,1.659457237,2.438020833,2.596875,27.57142857,42.71428571,50.57142857,108.2857143,108.5714286,85.71428571,86.66666667
2,T1,1,T11,2T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,47,236,515,842,1300,1940,2620,2880,189,279,327,458,640,680,260,1.089616402,1.478942652,2.115252294,2.17235262,1.970605469,2.151194853,2.596875,27,39.85714286,46.71428571,65.42857143,91.42857143,97.14285714,86.66666667
3,T1,1,T11,3T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,47,196,482,886,1800,2760,3700,3920,149,286,404,914,960,940,220,1.382130872,1.442744755,1.712097772,1.088553063,1.313736979,1.556183511,3.069034091,21.28571429,40.85714286,57.71428571,130.5714286,137.1428571,134.2857143,73.33333333
4,T1,1,T11,4T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,32,193,449,522,1460,2160,3000,3300,161,256,73,938,700,840,300,1.279114907,1.611816406,9.475171233,1.060700959,1.801696429,1.741443452,2.250625,23,36.57142857,10.42857143,134,100,120,100
6,T1,1,T11,6T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,32,190,467,993,1740,2500,3280,3520,158,277,526,747,760,780,240,1.303401899,1.489620939,1.314995247,1.331910977,1.659457237,1.875400641,2.81328125,22.57142857,39.57142857,75.14285714,106.7142857,108.5714286,111.4285714,80
7,T1,1,T11,7T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,34,215,533,973,1740,2480,3440,3800,181,318,440,767,740,960,360,1.137776243,1.297562893,1.572017045,1.297180574,1.704307432,1.523763021,1.875520833,25.85714286,45.42857143,62.85714286,109.5714286,105.7142857,137.1428571,120
8,T1,1,T11,8T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,37,216,507,1100,2080,2860,3420,3660,179,291,593,980,780,560,240,1.150488827,1.417955326,1.166420742,1.015242347,1.616907051,2.612165179,2.81328125,25.57142857,41.57142857,84.71428571,140,111.4285714,80,80
9,T1,1,T11,9T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,38,176,434,968,1400,2240,2900,3290,138,258,534,432,840,660,390,1.492300725,1.599321705,1.295294944,2.303096065,1.50141369,2.216382576,1.73125,19.71428571,36.85714286,76.28571429,61.71428571,120,94.28571429,130
10,T1,1,T11,10T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,37,183,426,838,1400,2240,2740,2990,146,243,412,562,840,500,250,1.410530822,1.698045267,1.678853155,1.770351423,1.50141369,2.925625,2.70075,20.85714286,34.71428571,58.85714286,80.28571429,120,71.42857143,83.33333333
11,T1,1,T11,11T11,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.875,20.9375,23.0625,27,31.125,35.0625,38.875,44.25,48.125,54.1875,58.125,63.9375,69,75,81.25,87.4375,93.3125,97.8125,104.5625,111.75,115.5625,123.125,127.0625,138.0625,144.5625,147.125,154.6875,160.3125,168.75,169.875,174.5625,180.0625,187.5625,188.0625,192.3125,196.5625,205,204.375,207.4375,212.3125,215.25,221.875,221.75,225.0625,228.375,36,185,429,833,1440,2240,3200,3480,149,244,404,607,800,960,280,1.382130872,1.691086066,1.712097772,1.63910626,1.576484375,1.523763021,2.411383929,21.28571429,34.85714286,57.71428571,86.71428571,114.2857143,137.1428571,93.33333333
