sitename,Month,Day,Year,pupcount,comments
Benjamin,6,23,2013,0,NA
Benjamin,6,23,2013,0,NA
Benjamin,6,24,2015,0,Otter aerial image count.
Benjamin,6,24,2015,0,Otter aerial image count.
Biali Rock,6,27,2015,205,Otter aerial image count.
Biali Rock,6,23,2013,187,NA
Biali Rock,6,24,2009,144,Logs for checkcount
Biali Rock,7,4,2002,59,"Perryman et al., La Jolla"
Biali Rock,7,10,2005,100,NA
Biali Rock,6,24,2009,143,Logs for checkcount
Biali Rock,7,12,2010,87,NA
Biali Rock,6,23,2013,183,NA
Biali Rock,6,27,2015,203,Otter aerial image count.
Biali Rock,6,28,2004,71,SWFSC count from MF non-pup aerial survey photo
Biali Rock,7,12,2010,83,NA
Cape Addington,6,23,2013,3,NA
Cape Addington,6,28,2004,1,SWFSC count from MF non-pup aerial survey photo
Cape Addington,7,12,2010,1,NA
Cape Addington,6,23,2013,3,NA
Cape Addington,7,12,2010,1,NA
Cape Addington,6,27,2015,1,Otter aerial image count.
Cape Addington,6,27,2015,1,Otter aerial image count.
Cape Addington,7,5,2002,6,"Perryman et al., La Jolla"
Cape Bartolome,6,27,2015,0,Otter aerial image count.
Cape Bartolome,6,23,2013,0,NA
Cape Bartolome,7,12,2010,0,NA
Cape Bartolome,7,12,2010,0,NA
Cape Bartolome,6,23,2013,0,NA
Cape Bartolome,6,27,2015,0,Otter aerial image count.
Cape Bartolome,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Cross,6,24,2015,0,Otter aerial image count.
Cape Cross,6,24,2015,0,Otter aerial image count.
Cape Fairweather,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Ommaney,7,5,2002,2,"Perryman et al., La Jolla"
Cape Ommaney,6,22,2013,1,NA
Cape Ommaney,6,24,2009,1,Logs for checkcount combined with photo count of South of Cape Ommaney (0)
Cape Ommaney,6,24,2009,1,Logs for checkcount combined with photo count of South of Cape Ommaney (0)
Cape Ommaney,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Ommaney,6,27,2015,0,Otter aerial image count.
Cape Ommaney,6,27,2015,0,Otter aerial image count.
Cape Ommaney,6,22,2013,2,NA
Cape Ommaney,7,12,2010,0,NA
Cape Ommaney,7,12,2010,0,NA
Cape Ommaney/S,7,12,2010,0,NA
Cape Ommaney/S,7,12,2010,0,NA
Coronation,7,12,2010,0,NA
Coronation,6,22,2013,0,NA
Coronation,6,27,2015,1,Otter aerial image count.
Coronation,6,27,2015,1,Otter aerial image count.
Coronation,6,22,2013,0,NA
Coronation,7,12,2010,0,NA
Coronation,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Easterly,7,12,2010,0,NA
Easterly,7,12,2010,0,NA
Easterly,6,24,2009,1,Logs for checkcount
Easterly,6,24,2009,1,Logs for checkcount
Easterly,6,27,2015,0,Otter aerial image count.
Easterly,6,23,2013,2,NA
Easterly,6,27,2015,0,Otter aerial image count.
Easterly,6,23,2013,2,NA
Forrester Complex,99,99,1984,2568,"""Calkins and Pitcher, ?(adfg 83-84 pinniped invest)"""
Forrester Complex,7,5,1998,2753,"""Pitcher, 1998 contract report"""
Forrester Complex,99,99,1988,2202,"""Loughlin & Merrick, 1988"""
Forrester Complex,6,23,1989,2844,"""Loughlin et al, 1992"""
Forrester Complex,6,29,1997,2798,"""Pitcher, 1998 contract report"""
Forrester Complex,99,99,1986,1954,"""Loughlin & Merrick, 1988"""
Forrester Complex,7,1,1996,2764,"""Strick et al, 1999"""
Forrester Complex,7,5,2002,0,"Perryman et al., La Jolla, Count at West Rock"
Forrester Complex,6,24,1995,2869,NA
Forrester Complex,7,3,1973,2371,"""2400 in Bigg, 1985"""
Forrester Complex,6,30,1994,2757,"""Strick et al, 1997"""
Forrester Complex,7,7,1991,3261,"""Merrick et al, 1992"""
Forrester Complex,6,22,1961,1096,"""Bigg, 1985"""
Forrester Complex,7,99,1990,2932,NMFS 1992
Forrester Complex,7,1,1982,2120,"""Loughlin & Merrick, 1988 but 2227 in NMFS,1992"""
Forrester Complex,99,99,1979,2187,"""Calkins & Pitcher, 1982, Pin invest in SEAK"""
Forrester/C Horn Rk,6,23,2013,270,NA
Forrester/C Horn Rk,6,27,2015,417,Otter aerial image count.
Forrester/C Horn Rk,6,23,2013,267,NA
Forrester/C Horn Rk,6,24,2009,431,Logs for checkcount
